Embedding,Location,Test Accuracy,Test Precision,Test Recall,Test F1,Train Accuracy,Train Precision,Train Recall,Train F1
ImageNet,australia,0.7433333333333333,0.743864415838938,0.7433333333333333,0.7431935164700781,1.0,1.0,1.0,1.0
ReefCLR,australia,0.6541666666666667,0.6546930527489373,0.6541666666666667,0.6538722176851837,1.0,1.0,1.0,1.0
VGGish,australia,0.8,0.800333704115684,0.8,0.7999444290080578,1.0,1.0,1.0,1.0
ImageNet,bermuda,0.5255681818181818,0.4759269517200413,0.5255681818181818,0.4859337291733898,0.9658848614072496,0.9652191571631364,0.9658848614072496,0.9651728457266144
ReefCLR,bermuda,0.5852272727272727,0.5507037284673518,0.5852272727272727,0.5651658079621746,0.9587775408670932,0.9573385204323696,0.9587775408670932,0.9575569150477682
VGGish,bermuda,0.6619318181818182,0.6411326150093176,0.6619318181818182,0.6342798641777813,0.9538024164889836,0.952931056757508,0.9538024164889836,0.9532056983091604
ImageNet,florida,0.915841584158416,0.9150126322977123,0.915841584158416,0.9150428940236284,1.0,1.0,1.0,1.0
ReefCLR,florida,0.9188118811881189,0.9184580620224184,0.9188118811881189,0.9173618488108444,1.0,1.0,1.0,1.0
VGGish,florida,0.9584158415841584,0.958293311021243,0.9584158415841584,0.9583368803823922,1.0,1.0,1.0,1.0
ImageNet,french_polynesia,0.9688195991091314,0.9688217699707922,0.9688195991091314,0.968819483109897,1.0,1.0,1.0,1.0
ReefCLR,french_polynesia,0.9565701559020044,0.9565796456852972,0.9565701559020044,0.9565701559020044,1.0,1.0,1.0,1.0
VGGish,french_polynesia,0.967706013363029,0.967763221610497,0.967706013363029,0.967704611636082,1.0,1.0,1.0,1.0
ImageNet,indonesia,0.9800498753117208,0.979675106857152,0.9800498753117208,0.9795934444947272,1.0,1.0,1.0,1.0
ReefCLR,indonesia,0.9775561097256856,0.9773412728566396,0.9775561097256856,0.9774331316107944,1.0,1.0,1.0,1.0
VGGish,indonesia,0.9975062344139652,0.9975131423518766,0.9975062344139652,0.9974925701789772,1.0,1.0,1.0,1.0
ImageNet,kenya,0.7647058823529411,0.8235294117647058,0.7647058823529411,0.7030812324929973,1.0,1.0,1.0,1.0
ReefCLR,kenya,0.8545454545454545,0.8528208918452821,0.8545454545454545,0.8498901747369113,1.0,1.0,1.0,1.0
VGGish,kenya,0.806060606060606,0.800534966388625,0.806060606060606,0.7998535663158816,1.0,1.0,1.0,1.0
